2026-04-15 16:07:28,546 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 16:07:28,549 | INFO | [API ATTEMPT 1/3] image_size=(116, 128) base64_len=5400 target_size=None
2026-04-15 16:10:29,074 | ERROR | [API TIMEOUT] attempt=1 error=HTTPSConnectionPool(host='api.siliconflow.cn', port=443): Read timed out. (read timeout=180)
2026-04-15 16:10:30,082 | INFO | [API ATTEMPT 2/3] image_size=(116, 128) base64_len=17468 target_size=(336, 336)
2026-04-15 16:10:32,788 | INFO | [API SUCCESS] attempt=2 result_len=5
2026-04-15 16:36:35,250 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 16:36:35,250 | INFO | [API ATTEMPT 1/3] base64_len=3880
2026-04-15 16:36:52,677 | INFO | [API SUCCESS] attempt=1 result_len=5
2026-04-15 18:26:58,209 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:26:58,209 | INFO | [API ATTEMPT 1/3] base64_len=110236
2026-04-15 18:27:07,099 | INFO | [API SUCCESS] attempt=1 result_len=7
2026-04-15 18:28:31,745 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:28:31,745 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:28:31,745 | INFO | [API ATTEMPT 1/3] base64_len=32952
2026-04-15 18:28:31,745 | INFO | [API ATTEMPT 1/3] base64_len=14128
2026-04-15 18:29:05,445 | INFO | [API SUCCESS] attempt=1 result_len=7
2026-04-15 18:29:11,221 | INFO | [API SUCCESS] attempt=1 result_len=7
2026-04-15 18:31:07,824 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:31:07,824 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:31:07,825 | INFO | [API START] model=Qwen/Qwen3-VL-32B-Thinking url=https://api.siliconflow.cn/v1/chat/completions msg_count=2 temperature=0.3 max_tokens=512
2026-04-15 18:31:07,825 | INFO | [API ATTEMPT 1/3] base64_len=32952
2026-04-15 18:31:07,825 | INFO | [API ATTEMPT 1/3] base64_len=14128
